wallet,chain,time,transfer_type,transfer_method,token_name,token_symbol,amount,amount_usd
W25,bsc,2022-12-31 23:59:59,in,in,Wrapped BNB,WBNB,857.9716134,212613.55
W25,bsc,2023-01-01 4:22:33,swap_out,out,Wrapped BNB,WBNB,0.006235866894,1.53
W25,bsc,2023-01-01 4:22:33,swap_in,in,CryptoZoon,ZOON,2192.149719,1.45
W25,bsc,2023-01-01 16:54:31,swap_out,out,Wrapped BNB,WBNB,0.2615380816,63.90
W25,bsc,2023-01-01 16:54:31,swap_in,in,CryptoZoon,ZOON,91969.5,61.19
W25,bsc,2023-01-01 17:37:25,swap_in,in,Wrapped BNB,WBNB,0.4070484256,99.63
W25,bsc,2023-01-01 17:37:25,swap_out,out,CryptoZoon,ZOON,139551.3631,92.86
W25,bsc,2023-01-01 17:37:25,swap_out,out,CryptoZoon,ZOON,2847.987002,1.90
W25,bsc,2023-01-01 18:35:54,swap_out,out,Wrapped BNB,WBNB,0.3770828105,92.43
W25,bsc,2023-01-01 18:35:54,swap_in,in,CryptoZoon,ZOON,132573.7949,89.26
W25,bsc,2023-01-01 20:21:9,swap_out,out,Wrapped BNB,WBNB,0.605251366,148.35
W25,bsc,2023-01-01 20:21:09,swap_in,in,CryptoZoon,ZOON,213036.7115,140.01
W25,bsc,2023-01-01 23:59:59,in,in,CryptoZoon,ZOON,300986564.4,206808.00
W25,bsc,2023-01-02 6:36:34,swap_in,in,Wrapped BNB,WBNB,0.02853400498,6.96
W25,bsc,2023-01-02 6:36:34,swap_out,out,CryptoZoon,ZOON,9800,6.51
W25,bsc,2023-01-02 6:36:34,swap_out,out,CryptoZoon,ZOON,200,0.13
W25,bsc,2023-01-02 8:06:29,swap_out,out,Wrapped BNB,WBNB,1.209283531,297.84
W25,bsc,2023-01-02 8:06:29,swap_in,in,CryptoZoon,ZOON,426518.65,281.58
W25,bsc,2023-01-02 9:07:11,swap_out,out,Wrapped BNB,WBNB,1.148917836,283.73
W25,bsc,2023-01-02 9:07:11,swap_in,in,CryptoZoon,ZOON,406346.35,267.17
W25,bsc,2023-01-02 12:31:15,swap_out,out,Wrapped BNB,WBNB,1.271602247,313.79
W25,bsc,2023-01-02 12:31:15,swap_in,in,CryptoZoon,ZOON,451013.45,311.51
W25,bsc,2023-01-02 18:00:07,swap_out,out,Wrapped BNB,WBNB,0.3059666828,75.43
W25,bsc,2023-01-02 18:00:07,swap_in,in,CryptoZoon,ZOON,108721.61,75.33
W25,bsc,2023-01-02 18:02:04,swap_out,out,Wrapped BNB,WBNB,0.05657947724,13.95
W25,bsc,2023-01-02 18:02:04,swap_in,in,CryptoZoon,ZOON,20113.4,13.94
W25,bsc,2023-01-02 18:02:07,swap_out,out,Wrapped BNB,WBNB,0.2188670908,53.96
W25,bsc,2023-01-02 18:02:07,swap_in,in,CryptoZoon,ZOON,77830.042,53.92
W25,bsc,2023-01-02 23:28:57,swap_in,in,Wrapped BNB,WBNB,0.01185873891,2.92
W25,bsc,2023-01-02 23:28:57,swap_out,out,CryptoZoon,ZOON,4113.039016,2.82
W25,bsc,2023-01-02 23:28:57,swap_out,out,CryptoZoon,ZOON,83.93957175,0.06
W25,bsc,2023-01-03 2:58:11,swap_out,out,Wrapped BNB,WBNB,0.9278282778,227.42
W25,bsc,2023-01-03 2:58:11,swap_in,in,CryptoZoon,ZOON,330374.47,219.23
W25,bsc,2023-01-03 12:09:52,swap_out,out,Wrapped BNB,WBNB,0.6676485749,164.00
W25,bsc,2023-01-03 12:09:52,swap_in,in,CryptoZoon,ZOON,238177.5147,156.20
W25,bsc,2023-01-03 17:24:13,swap_out,out,Wrapped BNB,WBNB,0.005275544473,1.29
W25,bsc,2023-01-03 17:24:13,swap_in,in,CryptoZoon,ZOON,1883.492804,1.25
W25,bsc,2023-01-04 2:45:11,swap_out,out,Wrapped BNB,WBNB,1.56639867,385.84
W25,bsc,2023-01-04 2:45:11,swap_in,in,CryptoZoon,ZOON,560274.85,381.03
W25,bsc,2023-01-04 2:46:44,swap_out,out,Wrapped BNB,WBNB,0.2593961394,63.89
W25,bsc,2023-01-04 2:46:44,swap_in,in,CryptoZoon,ZOON,92981.4495,63.23
W25,bsc,2023-01-04 3:14:41,swap_out,out,Wrapped BNB,WBNB,0.46942157,117.67
W25,bsc,2023-01-04 3:14:41,swap_in,in,CryptoZoon,ZOON,168410.3,115.21
W25,bsc,2023-01-04 3:15:07,swap_out,out,Wrapped BNB,WBNB,0.2278806813,57.12
W25,bsc,2023-01-04 3:15:07,swap_out,out,Wrapped BNB,WBNB,0.08990424837,22.54
W25,bsc,2023-01-04 3:15:07,swap_in,in,CryptoZoon,ZOON,81839.365,55.99
W25,bsc,2023-01-04 3:15:07,swap_in,in,CryptoZoon,ZOON,32275.452,22.08
W25,bsc,2023-01-04 13:33:20,swap_out,out,Wrapped BNB,WBNB,0.00488421347,1.25
W25,bsc,2023-01-04 13:33:20,swap_in,in,CryptoZoon,ZOON,1754.561956,1.17
W25,bsc,2023-01-04 15:59:40,swap_out,out,Wrapped BNB,WBNB,0.01336839462,3.41
W25,bsc,2023-01-04 15:59:40,swap_in,in,CryptoZoon,ZOON,4802.447992,3.24
